0; 0
1000; 0
2000; 0
3000; 0
4000; 0
5000; 0
6000; 0
7000; 0
8000; 0
9000; 0
10000; 0
11000; 997000
12000; 998000
13000; 997000
14000; 0
15000; 1,004e+006
16000; 0
17000; 1,011e+006
18000; 0
19000; 997000
20000; 998000
21000; 0
22000; 0
23000; 0
24000; 1,017e+006
25000; 990000
26000; 997000
27000; 0
28000; 998000
29000; 0
30000; 997000
31000; 1e+006
32000; 997000
33000; 997000
34000; 997000
35000; 997000
36000; 998000
37000; 997000
38000; 990000
39000; 998000
40000; 1,048e+006
41000; 990000
42000; 997000
43000; 1,01e+006
44000; 997000
45000; 1,99e+006
46000; 963000
47000; 997000
48000; 1,942e+006
49000; 1,044e+006
50000; 998000
51000; 2,004e+006
52000; 977000
53000; 997000
54000; 996000
55000; 990000
56000; 985000
57000; 2,032e+006
58000; 1,992e+006
59000; 1,004e+006
60000; 995000
61000; 2,032e+006
62000; 985000
63000; 999000
64000; 1,995e+006
65000; 1,995e+006
66000; 996000
67000; 2,001e+006
68000; 996000
69000; 990000
70000; 1,989e+006
71000; 1,045e+006
72000; 1,992e+006
73000; 2,932e+006
74000; 1,996e+006
75000; 2,001e+006
76000; 1,994e+006
77000; 1,992e+006
78000; 2,036e+006
79000; 2,043e+006
80000; 1,991e+006
81000; 1,999e+006
82000; 2,956e+006
83000; 1,996e+006
84000; 1,995e+006
85000; 1,995e+006
86000; 1,994e+006
87000; 1,989e+006
88000; 1,993e+006
89000; 1,996e+006
90000; 1,995e+006
91000; 2,99e+006
92000; 2,992e+006
93000; 2,991e+006
94000; 1,995e+006
95000; 1,994e+006
96000; 2,993e+006
97000; 1,994e+006
98000; 2,992e+006
99000; 3,023e+006
