0; 0; 0; 0
5000; 0.027025; 0; 0.027964
10000; 0.048003; 0; 0.109347
15000; 0.124967; 0; 0.268149
20000; 0.218684; 0; 0.475562
25000; 0.355479; 0; 0.727088
30000; 0.505723; 0; 1.04152
35000; 0.73676; 0; 1.39218
40000; 0.893595; 0; 1.79475
45000; 1.15421; 0; 2.29683
50000; 1.4125; 0.000999; 2.78422
55000; 1.67058; 0; 3.39387
60000; 2.07991; 0; 4.00651
65000; 2.32963; 0; 4.78944
70000; 2.75785; 0; 5.44752
75000; 3.0914; 0.001021; 6.58852
80000; 3.68223; 0; 7.1371
85000; 5.15064; 0; 9.10803
90000; 4.83813; 0; 9.09071
95000; 5.14752; 0; 10.3176
